UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
1,L00001,L,298.6,308.6,1377,48.4,4,0,No Failure
2,L00002,L,298.5,308.5,1394,53.9,9,0,No Failure
3,L00003,L,298.5,308.4,1406,60.0,14,0,No Failure
4,L00004,L,298.4,308.3,1433,62.3,20,1,Power Failure
5,L00005,L,298.4,308.4,1475,58.7,26,0,No Failure
6,L00006,L,298.5,308.6,1517,51.3,32,0,No Failure
7,L00007,L,298.5,308.8,1560,44.8,38,0,No Failure
8,L00008,L,298.6,308.9,1599,40.7,44,0,No Failure
9,L00009,L,298.6,309.0,1628,38.5,51,0,No Failure
10,L00010,L,298.6,309.0,1653,37.1,57,0,No Failure
11,L00011,L,298.6,309.1,1678,36.0,63,0,No Failure
12,L00012,L,298.6,309.1,1695,35.2,69,0,No Failure
13,L00013,L,298.6,309.2,1713,34.6,74,0,No Failure
14,L00014,L,298.6,309.2,1730,33.9,78,0,No Failure
15,L00015,L,298.7,309.3,1741,33.1,82,0,No Failure
16,L00016,L,298.7,309.3,1754,32.8,86,0,No Failure
17,L00017,L,298.7,309.2,1762,32.5,90,0,No Failure
18,L00018,L,298.7,309.2,1764,31.9,92,0,No Failure
19,L00019,L,298.7,309.2,1772,31.8,95,0,No Failure
20,L00020,L,298.7,309.1,1778,31.9,98,0,No Failure
21,L00021,L,298.6,309.1,1777,32.0,100,0,No Failure
22,L00022,L,298.6,309.0,1773,32.1,102,0,No Failure
23,L00023,L,298.5,308.9,1772,32.4,105,0,No Failure
24,L00024,L,298.4,308.8,1772,32.9,107,0,No Failure
25,L00025,L,298.4,308.7,1762,33.5,110,0,No Failure
26,L00026,L,298.3,308.7,1753,33.9,113,0,No Failure
27,L00027,L,298.2,308.6,1735,34.7,117,0,No Failure
28,L00028,L,298.2,308.5,1718,35.3,120,0,No Failure
29,L00029,L,298.1,308.5,1697,36.0,125,0,No Failure
30,L00030,L,298.1,308.5,1677,36.8,129,0,No Failure
31,L00031,L,298.1,308.5,1659,37.6,134,0,No Failure
32,L00032,L,298.1,308.5,1639,38.4,139,0,No Failure
33,L00033,L,298.1,308.5,1614,39.0,145,0,No Failure
34,L00034,L,298.2,308.5,1592,40.0,150,0,No Failure
35,L00035,L,298.2,308.6,1571,40.7,156,0,No Failure
36,L00036,L,298.3,308.6,1542,40.9,163,0,No Failure
37,L00037,L,298.4,308.7,1520,41.4,169,0,No Failure
38,L00038,L,298.4,308.7,1500,41.7,175,0,No Failure
39,L00039,L,298.5,308.7,1479,41.8,181,0,No Failure
40,L00040,L,298.6,308.7,1459,41.7,187,0,No Failure
41,L00041,L,298.6,308.8,1450,41.7,193,0,No Failure
42,L00042,L,298.7,308.8,1453,41.5,198,0,No Failure
43,L00043,L,298.8,308.9,1461,41.4,203,0,No Failure
44,L00044,L,298.8,308.9,1455,41.3,208,1,Tool Wear Failure
45,L00045,L,298.8,309.4,1636,40.9,2,0,No Failure
46,L00046,L,298.8,309.3,1641,39.8,6,0,No Failure
47,L00047,L,298.7,309.2,1651,38.6,9,0,No Failure
48,L00048,L,298.7,309.1,1675,37.7,13,0,No Failure
49,L00049,L,298.7,309.1,1701,36.8,16,0,No Failure
50,L00050,L,298.7,309.1,1725,35.8,19,0,No Failure
51,L00051,L,298.7,309.0,1738,35.2,22,0,No Failure
52,L00052,L,298.6,309.0,1740,34.8,25,0,No Failure
53,L00053,L,298.6,308.9,1735,34.8,28,0,No Failure
54,L00054,L,298.5,308.9,1714,35.3,31,0,No Failure
55,L00055,L,298.5,308.8,1684,36.4,34,0,No Failure
56,L00056,L,298.4,308.8,1652,37.4,37,0,No Failure
57,L00057,L,298.4,308.7,1615,38.4,39,0,No Failure
58,L00058,L,298.3,308.7,1576,39.5,42,0,No Failure
59,L00059,L,298.3,308.6,1541,40.6,45,0,No Failure
60,L00060,L,298.2,308.6,1503,42.0,47,0,No Failure
61,L00061,L,298.2,308.5,1466,43.3,49,0,No Failure
62,L00062,L,298.2,308.5,1439,44.3,52,0,No Failure
63,L00063,L,298.2,308.4,1416,44.8,54,0,No Failure
64,L00064,L,298.1,308.4,1401,45.4,56,0,No Failure
65,L00065,L,298.1,308.3,1402,45.5,59,0,No Failure
66,L00066,L,298.1,308.3,1418,45.4,61,0,No Failure
67,L00067,L,298.1,308.3,1442,45.1,64,0,No Failure
68,L00068,L,298.1,308.2,1466,44.2,66,0,No Failure
69,L00069,L,298.1,308.2,1499,43.2,70,0,No Failure
70,L00070,L,298.1,308.2,1537,42.1,73,0,No Failure
71,L00071,L,298.1,308.3,1571,41.1,77,0,No Failure
72,L00072,L,298.1,308.3,1605,39.9,81,0,No Failure
73,L00073,L,298.1,308.3,1637,38.7,85,0,No Failure
74,L00074,L,298.1,308.4,1663,37.8,89,0,No Failure
75,L00075,L,298.1,308.4,1684,37.0,94,0,No Failure
76,L00076,L,298.1,308.5,1696,36.4,99,0,No Failure
77,L00077,L,298.1,308.5,1700,36.2,105,0,No Failure
78,L00078,L,298.2,308.6,1690,36.1,111,0,No Failure
79,L00079,L,298.2,308.7,1669,36.3,116,0,No Failure
80,L00080,L,298.2,308.7,1645,36.6,122,0,No Failure
81,L00081,L,298.2,308.8,1617,37.0,129,0,No Failure
82,L00082,L,298.2,308.9,1588,37.6,135,0,No Failure
83,L00083,L,298.2,308.9,1555,38.1,141,0,No Failure
84,L00084,L,298.3,309.0,1513,38.7,147,0,No Failure
85,L00085,L,298.3,309.1,1476,39.4,154,0,No Failure
86,L00086,L,298.4,309.1,1452,40.1,160,0,No Failure
87,L00087,L,298.4,309.2,1429,40.5,166,0,No Failure
88,L00088,L,298.4,309.2,1414,40.9,172,0,No Failure
89,L00089,L,298.5,309.2,1409,41.6,178,0,No Failure
90,L00090,L,298.6,309.3,1409,42.9,184,0,No Failure
91,L00091,L,298.7,309.5,1402,46.4,189,0,No Failure
92,L00092,L,298.9,309.8,1384,51.9,195,0,No Failure
93,L00093,L,299.0,309.9,1373,55.7,201,1,Overstrain Failure
94,L00094,L,298.7,309.5,1366,55.9,206,0,No Failure
95,L00095,L,298.3,308.7,1351,55.1,212,0,No Failure
96,L00096,L,298.0,308.2,1365,52.9,218,1,Overstrain Failure
97,L00097,L,297.8,308.3,1493,44.4,4,0,No Failure
98,L00098,L,298.2,308.7,1539,42.2,7,0,No Failure
99,L00099,L,298.5,309.0,1532,44.8,10,0,No Failure
100,L00100,L,298.8,309.0,1461,52.9,13,0,No Failure
101,L00101,L,299.0,308.9,1371,62.7,17,0,No Failure
102,L00102,L,299.1,308.8,1320,67.5,20,1,Power Failure
103,L00103,L,299.0,308.8,1338,64.1,23,0,No Failure
104,L00104,L,298.8,308.8,1399,55.6,27,0,No Failure
105,L00105,L,298.7,308.8,1456,47.9,31,0,No Failure
106,L00106,L,298.6,308.8,1484,43.5,34,0,No Failure
107,L00107,L,298.5,308.7,1487,42.0,38,0,No Failure
108,L00108,L,298.5,308.7,1479,41.5,41,0,No Failure
109,L00109,L,298.4,308.6,1469,41.5,45,0,No Failure
110,L00110,L,298.4,308.6,1458,41.6,49,0,No Failure
111,L00111,L,298.4,308.5,1448,41.7,52,0,No Failure
112,L00112,L,298.4,308.5,1442,41.6,55,0,No Failure
113,L00113,L,298.3,308.4,1439,41.5,59,0,No Failure
114,L00114,L,298.3,308.4,1435,41.3,62,0,No Failure
115,L00115,L,298.3,308.4,1434,41.0,65,0,No Failure
116,L00116,L,298.3,308.5,1433,41.0,68,0,No Failure
117,L00117,L,298.3,308.5,1431,41.1,71,0,No Failure
118,L00118,L,298.3,308.5,1427,41.1,73,0,No Failure
119,L00119,L,298.3,308.5,1427,40.9,76,0,No Failure
120,L00120,L,298.3,308.6,1430,40.6,79,0,No Failure
121,L00121,L,298.3,308.6,1434,40.5,82,0,No Failure
122,L00122,L,298.3,308.7,1438,40.7,85,0,No Failure
123,L00123,L,298.3,308.7,1445,40.8,88,0,No Failure
124,L00124,L,298.3,308.8,1451,40.6,91,0,No Failure
125,L00125,L,298.3,308.8,1453,40.8,94,0,No Failure
126,L00126,L,298.3,308.9,1460,41.0,98,0,No Failure
127,L00127,L,298.2,308.9,1468,41.0,102,0,No Failure
128,L00128,L,298.2,308.9,1476,40.9,106,0,No Failure
129,L00129,L,298.2,308.9,1486,40.9,110,0,No Failure
130,L00130,L,298.2,308.9,1496,41.0,115,0,No Failure
131,L00131,L,298.2,308.9,1504,40.9,120,0,No Failure
132,L00132,L,298.1,308.8,1512,40.8,125,0,No Failure
133,L00133,L,298.1,308.8,1518,40.6,130,0,No Failure
134,L00134,L,298.0,308.7,1528,40.4,135,0,No Failure
135,L00135,L,298.0,308.7,1538,40.0,141,0,No Failure
136,L00136,L,298.0,308.6,1546,39.3,146,0,No Failure
137,L00137,L,297.9,308.6,1554,38.4,152,0,No Failure
138,L00138,L,297.9,308.6,1559,37.9,157,0,No Failure
139,L00139,L,297.8,308.5,1567,37.4,162,0,No Failure
140,L00140,L,297.8,308.5,1577,36.9,167,0,No Failure
141,L00141,L,297.8,308.5,1584,36.3,172,0,No Failure
142,L00142,L,297.8,308.5,1588,35.7,176,0,No Failure
143,L00143,L,297.8,308.5,1595,35.1,180,0,No Failure
144,L00144,L,297.8,308.5,1601,34.6,184,0,No Failure
145,L00145,L,297.8,308.5,1606,34.2,187,0,No Failure
146,L00146,L,297.8,308.5,1612,33.9,190,0,No Failure
147,L00147,L,297.8,308.6,1619,33.7,193,0,No Failure
148,L00148,L,297.9,308.7,1629,33.8,196,0,No Failure
149,L00149,L,297.9,308.7,1630,33.8,198,0,No Failure
150,L00150,L,298.0,308.6,1619,33.6,201,0,No Failure
151,L00151,L,298.1,308.3,1583,32.7,203,0,No Failure
152,L00152,L,298.1,307.8,1531,31.5,206,0,No Failure
153,L00153,L,298.2,307.6,1511,31.0,209,1,Tool Wear Failure
154,L00154,L,298.3,307.9,1551,32.1,212,0,No Failure
