forecast_step,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],calibrated_extension,cycle_offset
1,298.73968505859375,309.3777160644531,1772.3271484375,33.961456298828125,91.02432250976562,False,0
2,298.7527160644531,309.4065246582031,1777.3416748046875,34.15864181518555,95.98590087890625,False,0
3,298.7406311035156,309.4033508300781,1776.482421875,34.51838684082031,100.22412872314453,False,0
4,298.7184753417969,309.3799743652344,1771.931396484375,34.6111946105957,103.24615478515625,False,0
5,298.7063903808594,309.3768005371094,1771.0721435546875,34.808380126953125,108.27047729492188,True,0
6,298.6943054199219,309.3736267089844,1770.212890625,35.00556564331055,113.2947998046875,True,0
7,298.6822204589844,309.3704528808594,1769.3536376953125,35.20275115966797,118.31912231445312,True,0
8,298.6701354980469,309.3672790527344,1768.494384765625,35.39993667602539,123.34344482421875,True,0
9,298.6580505371094,309.3641052246094,1767.6351318359375,35.59712219238281,128.36776733398438,True,0
10,298.6459655761719,309.3609313964844,1766.77587890625,35.794307708740234,133.39208984375,True,0
11,298.6338806152344,309.3577575683594,1765.9166259765625,35.991493225097656,138.41641235351562,True,0
12,298.6217956542969,309.3545837402344,1765.057373046875,36.18867874145508,143.44073486328125,True,0
13,298.6097106933594,309.3514099121094,1764.1981201171875,36.3858642578125,148.46505737304688,True,0
14,298.5976257324219,309.3482360839844,1763.3388671875,36.58304977416992,153.4893798828125,True,0
15,298.5855407714844,309.3450622558594,1762.4796142578125,36.780235290527344,158.51370239257812,True,0
16,298.5734558105469,309.3418884277344,1761.620361328125,36.977420806884766,163.53802490234375,True,0
17,298.5613708496094,309.3387145996094,1760.7611083984375,37.17460632324219,168.56234741210938,True,0
18,298.5492858886719,309.3355407714844,1759.90185546875,37.37179183959961,173.586669921875,True,0
19,298.5372009277344,309.3323669433594,1759.0426025390625,37.56897735595703,178.61099243164062,True,0
20,298.5251159667969,309.3291931152344,1758.183349609375,37.76616287231445,183.63531494140625,True,0
21,298.5130310058594,309.3260192871094,1757.3240966796875,37.963348388671875,188.65963745117188,True,0
22,298.5009460449219,309.3228454589844,1756.46484375,38.1605339050293,193.6839599609375,True,0
23,298.4888610839844,309.3196716308594,1755.6055908203125,38.35771942138672,198.70828247070312,True,0
24,298.4767761230469,309.3164978027344,1754.746337890625,38.55490493774414,203.73260498046875,True,0
25,298.4646911621094,309.3133239746094,1753.8870849609375,38.75209045410156,208.0,True,0
